М	0.12149532710280374
Е	0.09212283044058744
У	0.07610146862483311
4	0.07076101468624833
>	0.06408544726301736
Д	0.06275033377837116
И	0.06008010680907877
Й	0.04806408544726302
О	0.042723631508678236
Р	0.04005340453938585
t	0.04005340453938585
1	0.030707610146862484
r	0.0267022696929239
Х	0.025367156208277702
Л	0.025367156208277702
2	0.02403204272363151

	0.02403204272363151
 	0.018691588785046728
8	0.018691588785046728
А	0.01335113484646195
Ч	0.010680907877169559
Щ	0.009345794392523364
<	0.009345794392523364
Ф	0.006675567423230975
К	0.006675567423230975
Ъ	0.006675567423230975
Ш	0.0053404539385847796
П	0.0053404539385847796
7	0.0053404539385847796
Ь	0.0026702269692923898
5	0.0026702269692923898
-	0.0026702269692923898
Ы	0.0013351134846461949
